"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Mauraz","Mauraz","Mauraz","VD",64,"Mauraz","Mauraz","Mauraz","VD","VD","VD",64,64,64
"2","Romainmôtier-Envy","Romainmôtier-Envy","Romainmôtier-Envy","VD",54.314720812,"Romainmôtier-Envy","Romainmôtier-Envy","Romainmôtier-Envy","VD","VD","VD",54.314720812,54.314720812,54.314720812
"3","Veysonnaz","Veysonnaz","Veysonnaz","VS",51.219512195,"Veysonnaz","Veysonnaz","Veysonnaz","VS","VS","VS",51.219512195,51.219512195,51.219512195
"4","Champtauroz","Champtauroz","Champtauroz","VD",50.909090909,"Champtauroz","Champtauroz","Champtauroz","VD","VD","VD",50.909090909,50.909090909,50.909090909
"5","Bâle","Basel","Basilea","BS",50.206780851,"Bâle","Basel","Basilea","BS","BS","BS",50.206780851,50.206780851,50.206780851
"6","Prilly","Prilly","Prilly","VD",46.524457521,"Prilly","Prilly","Prilly","VD","VD","VD",46.524457521,46.524457521,46.524457521
"7","Baulmes","Baulmes","Baulmes","VD",45.663265306,"Baulmes","Baulmes","Baulmes","VD","VD","VD",45.663265306,45.663265306,45.663265306
"8","Sainte-Croix","Sainte-Croix","Sainte-Croix","VD",45.448369565,"Sainte-Croix","Sainte-Croix","Sainte-Croix","VD","VD","VD",45.448369565,45.448369565,45.448369565
"9","Tévenon","Tévenon","Tévenon","VD",45.364238411,"Tévenon","Tévenon","Tévenon","VD","VD","VD",45.364238411,45.364238411,45.364238411
"10","Maracon","Maracon","Maracon","VD",45.089285714,"Maracon","Maracon","Maracon","VD","VD","VD",45.089285714,45.089285714,45.089285714
"11","Rodersdorf","Rodersdorf","Rodersdorf","SO",44.925373134,"Rodersdorf","Rodersdorf","Rodersdorf","SO","SO","SO",44.925373134,44.925373134,44.925373134
"12","Mutrux","Mutrux","Mutrux","VD",44.897959184,"Mutrux","Mutrux","Mutrux","VD","VD","VD",44.897959184,44.897959184,44.897959184
"13","Moiry","Moiry","Moiry","VD",44.585987261,"Moiry","Moiry","Moiry","VD","VD","VD",44.585987261,44.585987261,44.585987261
"14","Masein","Masein","Masein","GR",44.502617801,"Masein","Masein","Masein","GR","GR","GR",44.502617801,44.502617801,44.502617801
"15","Ferreyres","Ferreyres","Ferreyres","VD",44.360902256,"Ferreyres","Ferreyres","Ferreyres","VD","VD","VD",44.360902256,44.360902256,44.360902256
"16","Rennaz","Rennaz","Rennaz","VD",44.339622642,"Rennaz","Rennaz","Rennaz","VD","VD","VD",44.339622642,44.339622642,44.339622642
"17","Corsier-sur-Vevey","Corsier-sur-Vevey","Corsier-sur-Vevey","VD",43.885601578,"Corsier-sur-Vevey","Corsier-sur-Vevey","Corsier-sur-Vevey","VD","VD","VD",43.885601578,43.885601578,43.885601578
"18","Rifferswil","Rifferswil","Rifferswil","ZH",43.689320388,"Rifferswil","Rifferswil","Rifferswil","ZH","ZH","ZH",43.689320388,43.689320388,43.689320388
"19","Saint-George","Saint-George","Saint-George","VD",43.670886076,"Saint-George","Saint-George","Saint-George","VD","VD","VD",43.670886076,43.670886076,43.670886076
"20","Birsfelden","Birsfelden","Birsfelden","BL",43.489681051,"Birsfelden","Birsfelden","Birsfelden","BL","BL","BL",43.489681051,43.489681051,43.489681051
"21","Lüsslingen-Nennigkofen","Lüsslingen-Nennigkofen","Lüsslingen-Nennigkofen","SO",43.459915612,"Lüsslingen-Nennigkofen","Lüsslingen-Nennigkofen","Lüsslingen-Nennigkofen","SO","SO","SO",43.459915612,43.459915612,43.459915612
"22","Moudon","Moudon","Moudon","VD",43.043043043,"Moudon","Moudon","Moudon","VD","VD","VD",43.043043043,43.043043043,43.043043043
"23","Ogens","Ogens","Ogens","VD",42.857142857,"Ogens","Ogens","Ogens","VD","VD","VD",42.857142857,42.857142857,42.857142857
"24","Croy","Croy","Croy","VD",42.331288344,"Croy","Croy","Croy","VD","VD","VD",42.331288344,42.331288344,42.331288344
"25","Henniez","Henniez","Henniez","VD",42,"Henniez","Henniez","Henniez","VD","VD","VD",42,42,42
"26","Le Lieu","Le Lieu","Le Lieu","VD",41.964285714,"Le Lieu","Le Lieu","Le Lieu","VD","VD","VD",41.964285714,41.964285714,41.964285714
"27","Rorschach","Rorschach","Rorschach","SG",41.935483871,"Rorschach","Rorschach","Rorschach","SG","SG","SG",41.935483871,41.935483871,41.935483871
"28","Fiez","Fiez","Fiez","VD",41.935483871,"Fiez","Fiez","Fiez","VD","VD","VD",41.935483871,41.935483871,41.935483871
"29","Chavannes-le-Veyron","Chavannes-le-Veyron","Chavannes-le-Veyron","VD",41.791044776,"Chavannes-le-Veyron","Chavannes-le-Veyron","Chavannes-le-Veyron","VD","VD","VD",41.791044776,41.791044776,41.791044776
"30","Grindel","Grindel","Grindel","SO",41.666666667,"Grindel","Grindel","Grindel","SO","SO","SO",41.666666667,41.666666667,41.666666667
"31","Morges","Morges","Morges","VD",41.504539559,"Morges","Morges","Morges","VD","VD","VD",41.504539559,41.504539559,41.504539559
"32","Oppens","Oppens","Oppens","VD",41.379310345,"Oppens","Oppens","Oppens","VD","VD","VD",41.379310345,41.379310345,41.379310345
"33","Grandcour","Grandcour","Grandcour","VD",41.260744986,"Grandcour","Grandcour","Grandcour","VD","VD","VD",41.260744986,41.260744986,41.260744986
"34","Trey","Trey","Trey","VD",41,"Trey","Trey","Trey","VD","VD","VD",41,41,41
"35","Bussigny","Bussigny","Bussigny","VD",40.877970197,"Bussigny","Bussigny","Bussigny","VD","VD","VD",40.877970197,40.877970197,40.877970197
"36","Le Chenit","Le Chenit","Le Chenit","VD",40.861812779,"Le Chenit","Le Chenit","Le Chenit","VD","VD","VD",40.861812779,40.861812779,40.861812779
"37","Oron","Oron","Oron","VD",40.337909187,"Oron","Oron","Oron","VD","VD","VD",40.337909187,40.337909187,40.337909187
"38","Dittingen","Dittingen","Dittingen","BL",40.239043825,"Dittingen","Dittingen","Dittingen","BL","BL","BL",40.239043825,40.239043825,40.239043825
"39","Bärschwil","Bärschwil","Bärschwil","SO",40,"Bärschwil","Bärschwil","Bärschwil","SO","SO","SO",40,40,40
"40","Fontaines-sur-Grandson","Fontaines-sur-Grandson","Fontaines-sur-Grandson","VD",40,"Fontaines-sur-Grandson","Fontaines-sur-Grandson","Fontaines-sur-Grandson","VD","VD","VD",40,40,40
"41","Prévonloup","Prévonloup","Prévonloup","VD",40,"Prévonloup","Prévonloup","Prévonloup","VD","VD","VD",40,40,40
"42","Valeyres-sous-Montagny","Valeyres-sous-Montagny","Valeyres-sous-Montagny","VD",39.920948617,"Valeyres-sous-Montagny","Valeyres-sous-Montagny","Valeyres-sous-Montagny","VD","VD","VD",39.920948617,39.920948617,39.920948617
"43","Cudrefin","Cudrefin","Cudrefin","VD",39.772727273,"Cudrefin","Cudrefin","Cudrefin","VD","VD","VD",39.772727273,39.772727273,39.772727273
"44","Grengiols","Grengiols","Grengiols","VS",39.534883721,"Grengiols","Grengiols","Grengiols","VS","VS","VS",39.534883721,39.534883721,39.534883721
"45","Leysin","Leysin","Leysin","VD",39.330543933,"Leysin","Leysin","Leysin","VD","VD","VD",39.330543933,39.330543933,39.330543933
"46","Dompierre (VD)","Dompierre VD","Dompierre VD","VD",39.215686275,"Dompierre (VD)","Dompierre VD","Dompierre VD","VD","VD","VD",39.215686275,39.215686275,39.215686275
"47","Mathod","Mathod","Mathod","VD",39.183673469,"Mathod","Mathod","Mathod","VD","VD","VD",39.183673469,39.183673469,39.183673469
"48","Gelterkinden","Gelterkinden","Gelterkinden","BL",39.174757282,"Gelterkinden","Gelterkinden","Gelterkinden","BL","BL","BL",39.174757282,39.174757282,39.174757282
"49","Gempen","Gempen","Gempen","SO",39.154929577,"Gempen","Gempen","Gempen","SO","SO","SO",39.154929577,39.154929577,39.154929577
"50","Lostallo","Lostallo","Lostallo","GR",39.147286822,"Lostallo","Lostallo","Lostallo","GR","GR","GR",39.147286822,39.147286822,39.147286822
