"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Oberems","Oberems","Oberems","VS",85.714285714,"Oberems","Oberems","Oberems","VS","VS","VS",85.714285714,85.714285714,85.714285714
"2","La Scheulte","Schelten","Schelten","BE",82.142857143,"La Scheulte","Schelten","Schelten","BE","BE","BE",82.142857143,82.142857143,82.142857143
"3","Ferreyres","Ferreyres","Ferreyres","VD",81.818181818,"Ferreyres","Ferreyres","Ferreyres","VD","VD","VD",81.818181818,81.818181818,81.818181818
"4","Lovatens","Lovatens","Lovatens","VD",81.355932203,"Lovatens","Lovatens","Lovatens","VD","VD","VD",81.355932203,81.355932203,81.355932203
"5","Winznau","Winznau","Winznau","SO",80.688622754,"Winznau","Winznau","Winznau","SO","SO","SO",80.688622754,80.688622754,80.688622754
"6","Ennetbaden","Ennetbaden","Ennetbaden","AG",80.636604775,"Ennetbaden","Ennetbaden","Ennetbaden","AG","AG","AG",80.636604775,80.636604775,80.636604775
"7","Baden","Baden","Baden","AG",78.141855448,"Baden","Baden","Baden","AG","AG","AG",78.141855448,78.141855448,78.141855448
"8","Zurich","Zürich","Zurigo","ZH",77.996310699,"Zurich","Zürich","Zurigo","ZH","ZH","ZH",77.996310699,77.996310699,77.996310699
"9","Soleure","Solothurn","Soletta","SO",77.907915994,"Soleure","Solothurn","Soletta","SO","SO","SO",77.907915994,77.907915994,77.907915994
"10","Sils im Engadin/Segl","Sils im Engadin/Segl","Sils im Engadin/Segl","GR",77.674418605,"Sils im Engadin/Segl","Sils im Engadin/Segl","Sils im Engadin/Segl","GR","GR","GR",77.674418605,77.674418605,77.674418605
"11","La Chaux (Cossonay)","La Chaux (Cossonay)","La Chaux (Cossonay)","VD",77.564102564,"La Chaux (Cossonay)","La Chaux (Cossonay)","La Chaux (Cossonay)","VD","VD","VD",77.564102564,77.564102564,77.564102564
"12","Liedertswil","Liedertswil","Liedertswil","BL",77.419354839,"Liedertswil","Liedertswil","Liedertswil","BL","BL","BL",77.419354839,77.419354839,77.419354839
"13","La Rippe","La Rippe","La Rippe","VD",77.419354839,"La Rippe","La Rippe","La Rippe","VD","VD","VD",77.419354839,77.419354839,77.419354839
"14","Chevilly","Chevilly","Chevilly","VD",76.984126984,"Chevilly","Chevilly","Chevilly","VD","VD","VD",76.984126984,76.984126984,76.984126984
"15","Prévondavaux","Prévondavaux","Prévondavaux","FR",76.315789474,"Prévondavaux","Prévondavaux","Prévondavaux","FR","FR","FR",76.315789474,76.315789474,76.315789474
"16","Kammersrohr","Kammersrohr","Kammersrohr","SO",76.19047619,"Kammersrohr","Kammersrohr","Kammersrohr","SO","SO","SO",76.19047619,76.19047619,76.19047619
"17","Soubey","Soubey","Soubey","JU",76.086956522,"Soubey","Soubey","Soubey","JU","JU","JU",76.086956522,76.086956522,76.086956522
"18","Lüsslingen-Nennigkofen","Lüsslingen-Nennigkofen","Lüsslingen-Nennigkofen","SO",76.041666667,"Lüsslingen-Nennigkofen","Lüsslingen-Nennigkofen","Lüsslingen-Nennigkofen","SO","SO","SO",76.041666667,76.041666667,76.041666667
"19","Olten","Olten","Olten","SO",75.865324103,"Olten","Olten","Olten","SO","SO","SO",75.865324103,75.865324103,75.865324103
"20","Hauenstein-Ifenthal","Hauenstein-Ifenthal","Hauenstein-Ifenthal","SO",75.757575758,"Hauenstein-Ifenthal","Hauenstein-Ifenthal","Hauenstein-Ifenthal","SO","SO","SO",75.757575758,75.757575758,75.757575758
"21","Lucerne","Luzern","Lucerna","LU",75.660164544,"Lucerne","Luzern","Lucerna","LU","LU","LU",75.660164544,75.660164544,75.660164544
"22","Dizy","Dizy","Dizy","VD",75.510204082,"Dizy","Dizy","Dizy","VD","VD","VD",75.510204082,75.510204082,75.510204082
"23","Wädenswil","Wädenswil","Wädenswil","ZH",75.126903553,"Wädenswil","Wädenswil","Wädenswil","ZH","ZH","ZH",75.126903553,75.126903553,75.126903553
"24","Bâle","Basel","Basilea","BS",75.056997797,"Bâle","Basel","Basilea","BS","BS","BS",75.056997797,75.056997797,75.056997797
"25","Nusshof","Nusshof","Nusshof","BL",75,"Nusshof","Nusshof","Nusshof","BL","BL","BL",75,75,75
"26","Onnens (VD)","Onnens VD","Onnens VD","VD",74.86631016,"Onnens (VD)","Onnens VD","Onnens VD","VD","VD","VD",74.86631016,74.86631016,74.86631016
"27","Aarau","Aarau","Aarau","AG",74.785297149,"Aarau","Aarau","Aarau","AG","AG","AG",74.785297149,74.785297149,74.785297149
"28","Arnex-sur-Nyon","Arnex-sur-Nyon","Arnex-sur-Nyon","VD",74.698795181,"Arnex-sur-Nyon","Arnex-sur-Nyon","Arnex-sur-Nyon","VD","VD","VD",74.698795181,74.698795181,74.698795181
"29","Zeglingen","Zeglingen","Zeglingen","BL",74.5,"Zeglingen","Zeglingen","Zeglingen","BL","BL","BL",74.5,74.5,74.5
"30","Lohn-Ammannsegg","Lohn-Ammannsegg","Lohn-Ammannsegg","SO",74.336973479,"Lohn-Ammannsegg","Lohn-Ammannsegg","Lohn-Ammannsegg","SO","SO","SO",74.336973479,74.336973479,74.336973479
"31","Clarmont","Clarmont","Clarmont","VD",74.137931034,"Clarmont","Clarmont","Clarmont","VD","VD","VD",74.137931034,74.137931034,74.137931034
"32","Greng","Greng","Greng","FR",73.913043478,"Greng","Greng","Greng","FR","FR","FR",73.913043478,73.913043478,73.913043478
"33","Romainmôtier-Envy","Romainmôtier-Envy","Romainmôtier-Envy","VD",73.604060914,"Romainmôtier-Envy","Romainmôtier-Envy","Romainmôtier-Envy","VD","VD","VD",73.604060914,73.604060914,73.604060914
"34","Rodersdorf","Rodersdorf","Rodersdorf","SO",73.490427099,"Rodersdorf","Rodersdorf","Rodersdorf","SO","SO","SO",73.490427099,73.490427099,73.490427099
"35","Masein","Masein","Masein","GR",73.4375,"Masein","Masein","Masein","GR","GR","GR",73.4375,73.4375,73.4375
"36","Oekingen","Oekingen","Oekingen","SO",73.407202216,"Oekingen","Oekingen","Oekingen","SO","SO","SO",73.407202216,73.407202216,73.407202216
"37","Lüterswil-Gächliwil","Lüterswil-Gächliwil","Lüterswil-Gächliwil","SO",73.291925466,"Lüterswil-Gächliwil","Lüterswil-Gächliwil","Lüterswil-Gächliwil","SO","SO","SO",73.291925466,73.291925466,73.291925466
"38","Winterthour","Winterthur","Winterthur","ZH",73.083246152,"Winterthour","Winterthur","Winterthur","ZH","ZH","ZH",73.083246152,73.083246152,73.083246152
