"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Unteriberg","Unteriberg","Unteriberg","SZ",24.788732394,"Unteriberg","Unteriberg","Unteriberg","SZ","SZ","SZ",75.211267606,75.211267606,75.211267606
"2","Illgau","Illgau","Illgau","SZ",28.423236515,"Illgau","Illgau","Illgau","SZ","SZ","SZ",71.576763485,71.576763485,71.576763485
"3","Muotathal","Muotathal","Muotathal","SZ",28.844317096,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",71.155682904,71.155682904,71.155682904
"4","Oberwil im Simmental","Oberwil im Simmental","Oberwil im Simmental","BE",30.902111324,"Oberwil im Simmental","Oberwil im Simmental","Oberwil im Simmental","BE","BE","BE",69.097888676,69.097888676,69.097888676
"5","Vorderthal","Vorderthal","Vorderthal","SZ",31.205673759,"Vorderthal","Vorderthal","Vorderthal","SZ","SZ","SZ",68.794326241,68.794326241,68.794326241
"6","Riemenstalden","Riemenstalden","Riemenstalden","SZ",31.818181818,"Riemenstalden","Riemenstalden","Riemenstalden","SZ","SZ","SZ",68.181818182,68.181818182,68.181818182
"7","Innerthal","Innerthal","Innerthal","SZ",32.478632479,"Innerthal","Innerthal","Innerthal","SZ","SZ","SZ",67.521367521,67.521367521,67.521367521
"8","Boltigen","Boltigen","Boltigen","BE",34.149855908,"Boltigen","Boltigen","Boltigen","BE","BE","BE",65.850144092,65.850144092,65.850144092
"9","Dozwil","Dozwil","Dozwil","TG",34.375,"Dozwil","Dozwil","Dozwil","TG","TG","TG",65.625,65.625,65.625
"10","Steinerberg","Steinerberg","Steinerberg","SZ",34.435797665,"Steinerberg","Steinerberg","Steinerberg","SZ","SZ","SZ",65.564202335,65.564202335,65.564202335
"11","Saint-Etienne","St. Stephan","St. Stephan","BE",34.460338101,"Saint-Etienne","St. Stephan","St. Stephan","BE","BE","BE",65.539661899,65.539661899,65.539661899
"12","Trey","Trey","Trey","VD",34.693877551,"Trey","Trey","Trey","VD","VD","VD",65.306122449,65.306122449,65.306122449
"13","Alpthal","Alpthal","Alpthal","SZ",35.078534031,"Alpthal","Alpthal","Alpthal","SZ","SZ","SZ",64.921465969,64.921465969,64.921465969
"14","Därstetten","Därstetten","Därstetten","BE",35.117773019,"Därstetten","Därstetten","Därstetten","BE","BE","BE",64.882226981,64.882226981,64.882226981
"15","Bellegarde","Jaun","Jaun","FR",35.410764873,"Bellegarde","Jaun","Jaun","FR","FR","FR",64.589235127,64.589235127,64.589235127
"16","Reisiswil","Reisiswil","Reisiswil","BE",35.576923077,"Reisiswil","Reisiswil","Reisiswil","BE","BE","BE",64.423076923,64.423076923,64.423076923
"17","Lütschental","Lütschental","Lütschental","BE",35.714285714,"Lütschental","Lütschental","Lütschental","BE","BE","BE",64.285714286,64.285714286,64.285714286
"18","Wald (AR)","Wald AR","Wald AR","AR",36.477987421,"Wald (AR)","Wald AR","Wald AR","AR","AR","AR",63.522012579,63.522012579,63.522012579
"19","Horrenbach-Buchen","Horrenbach-Buchen","Horrenbach-Buchen","BE",36.496350365,"Horrenbach-Buchen","Horrenbach-Buchen","Horrenbach-Buchen","BE","BE","BE",63.503649635,63.503649635,63.503649635
